2019-10-26 15:53:49.586 -- [34mINFO [0;39m [main] c.u.j.EncryptablePropertySourceConverter : Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2019-10-26 15:53:49.630 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWithMD5AndDES
2019-10-26 15:53:49.631 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.key-obtention-iterations, using default value: 1000
2019-10-26 15:53:49.631 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.pool-size, using default value: 1
2019-10-26 15:53:49.632 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.provider-name, using default value: null
2019-10-26 15:53:49.633 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.provider-class-name, using default value: null
2019-10-26 15:53:49.633 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.salt-generator-classname, using default value: org.jasypt.salt.RandomSaltGenerator
2019-10-26 15:53:49.635 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.iv-generator-classname, using default value: org.jasypt.iv.NoIvGenerator
2019-10-26 15:53:49.637 -- [34mINFO [0;39m [main] c.u.j.encryptor.DefaultLazyEncryptor : Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
2019-10-26 15:53:49.944 -- [34mINFO [0;39m [main] com.foodie.portal.FoodieApplication : The following profiles are active: dev
2019-10-26 15:53:51.826 -- [34mINFO [0;39m [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-26 15:53:52.080 -- [34mINFO [0;39m [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 244ms. Found 13 repository interfaces.
2019-10-26 15:53:52.651 -- [34mINFO [0;39m [main] o.s.cloud.context.scope.GenericScope : BeanFactory id=04d982bf-6a19-3215-a13f-f99d88d93822
2019-10-26 15:53:52.652 -- [34mINFO [0;39m [main] c.u.j.EncryptablePropertySourceConverter : Converting PropertySource defaultProperties [org.springframework.cloud.bootstrap.BootstrapApplicationListener$ExtendedDefaultPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
2019-10-26 15:53:52.673 -- [34mINFO [0;39m [main] c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor : Post-processing PropertySource instances
2019-10-26 15:53:52.735 -- [34mINFO [0;39m [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'shiroConfig' of type [com.foodie.portal.commons.config.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$de5f1359] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
